################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.5699571890529169E+00   2.9993157816331406E+00   2.2686508387797044E+00   1.7292314563326780E-01
         1          2   9.8023278989802354E-01   1.6732579634031588E+00   1.3251571931978807E+00   8.0896385862795656E-02
         1          3   1.0870269443436975E+00   2.2481598145493780E+00   1.6476973080335786E+00   1.4223149816517175E-01
         1          4   7.1454553757580208E-01   1.3105735765760249E+00   1.0146640313881725E+00   6.6229936867203992E-02
         1          5   5.4104173972171699E-01   1.3144696062109069E+00   9.1133471493051199E-01   9.6738630224427968E-02
         1          6   4.3075141321838689E-01   8.4418060440715725E-01   6.4841481801504075E-01   4.5257307337803955E-02
         1          7   2.5375979530377457E-01   7.5198919357439498E-01   4.6023366442141667E-01   5.8516966431850143E-02
         1          8   2.9167323057267353E-01   5.4102861052390860E-01   4.2418344542902159E-01   2.9455585710523022E-02
         1          9   2.7758959684925893E-01   4.5430046784509526E-01   3.6322383815554121E-01   2.5481071028607444E-02
         1         10   2.7677184609602024E-01   9.6846921964970312E-01   5.4327271417317291E-01   7.9925652498514230E-02
         1         11   2.1755698377084223E-01   3.2957340047598394E-01   2.7145992304805533E-01   1.3862094761005278E-02
         1         12   1.6199444629525397E-01   6.1317559749755191E-01   3.0330270381648450E-01   4.7424636169973181E-02
         1         13   1.3473364909510885E-01   2.5106074589571609E-01   1.9283413257660253E-01   1.3120235093073336E-02
         1         14   7.7929103127933982E-02   3.2598529067353726E-01   1.6078867111013947E-01   2.5152306395801797E-02
         1         15   2.7881931447828114E-02   1.5798219959475654E-01   8.4688653696823379E-02   1.4629986817621968E-02
         1         16   8.9443174471997931E-03   1.6022545999198295E-01   5.4283602326344299E-02   1.8111316801654606E-02
         1         17   1.4903427184453407E-03   3.1294831460606166E-02   1.7019001163625612E-02   4.2532208893636203E-03
