################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5512664093711532E-01 a         1     0     1     1     1
  1.7421792958127247E-01 a         2     0     1     1     2
  5.0381546794627108E-01 a         3     0     1     1     3
 -5.1117320184709536E-01 a         4     0     1     1     4
  2.9595493787001981E-01 a         5     0     1     1     5
 -4.4746190396176255E-01 a         6     0     1     1     6
 -3.3013115377019266E-02 a         7     0     1     1     7
  2.8795821976732655E-01 a         8     0     1     1     8
  5.3929678878901058E-02 a         9     0     1     1     9
 -3.4837940103701304E-01 a        10     0     1     1    10
 -1.3685353926650046E-01 a        11     0     1     1    11
 -4.3445782530223009E-01 a        12     0     1     1    12
  1.1641479331153847E-02 a        13     0     1     1    13
 -3.4449708154731512E-01 a        14     0     1     1    14
  1.7214088420959096E-02 a        15     0     1     1    15
 -2.9905957746275177E-02 a        16     0     1     1    16
  1.4404490326853137E-01 a        17     0     1     1    17
 -8.7349593498139672E-02 a        18     0     1     1    18
 -1.5223142151694491E-01 a        19     0     1     1    19
  8.6181595053377649E-02 a        20     0     1     1    20
  3.9296787665485916E-01 a        21     0     1     1    21
  6.8365957380594200E-02 a        22     0     1     1    22
  1.3124478065613807E-01 a        23     0     1     1    23
 -1.0067284372899338E-01 a        24     0     1     1    24
  1.0774981487931073E-01 a        25     0     1     1    25
  6.8746047284066261E-02 a        26     0     2     1     1
 -1.5419921121363528E-01 a        27     0     2     1     2
 -7.1795639884989282E-01 a        28     0     2     1     3
  4.9150993626645934E-01 a        29     0     2     1     4
 -4.2173541704309501E-02 a        30     0     2     1     5
  2.4615555103858405E-01 a        31     0     2     1     6
 -1.7194390897176419E-03 a        32     0     2     1     7
 -2.6056617690151251E-01 a        33     0     2     1     8
 -1.3432095321105275E-01 a        34     0     2     1     9
  2.1003421958741522E-01 a        35     0     2     1    10
  1.4425872273733825E-01 a        36     0     2     1    11
  3.1193752618606158E-01 a        37     0     2     1    12
  4.1768504723840777E-02 a        38     0     2     1    13
  1.9055041017092458E-01 a        39     0     2     1    14
  1.1599672964041102E-01 a        40     0     2     1    15
  3.7560032777752911E-02 a        41     0     2     1    16
  1.1484418695239522E-01 a        42     0     2     1    17
  9.2214167606121569E-02 a        43     0     2     1    18
  3.5113322669796770E-01 a        44     0     2     1    19
  2.2799911688091193E-01 a        45     0     2     1    20
 -6.5025043034490770E-01 a        46     0     2     1    21
 -1.8125872141905064E-01 a        47     0     2     1    22
 -1.6987847480240498E-01 a        48     0     2     1    23
  2.1732348071385195E-02 a        49     0     2     1    24
 -3.1331570455507901E-01 a        50     0     2     1    25
  1.1633059579401581E-01 a        51     0     3     1     1
 -1.3070322809440843E-01 a        52     0     3     1     2
 -2.4514618603462940E-01 a        53     0     3     1     3
  3.5459568399157099E-01 a        54     0     3     1     4
 -1.2267030859786393E-02 a        55     0     3     1     5
 -2.7133083813890746E-01 a        56     0     3     1     6
  1.3495367608297973E-01 a        57     0     3     1     7
  4.1618634130520066E-01 a        58     0     3     1     8
 -3.5684814337598220E-01 a        59     0     3     1     9
  3.8288999799492035E-01 a        60     0     3     1    10
  2.3322427647761504E-01 a        61     0     3     1    11
  1.7110328344016582E-01 a        62     0     3     1    12
  2.2102645834024751E-01 a        63     0     3     1    13
  6.3129246983758797E-02 a        64     0     3     1    14
 -1.8321021523415548E-01 a        65     0     3     1    15
 -2.6355498912455327E-01 a        66     0     3     1    16
 -1.4937055737679164E-01 a        67     0     3     1    17
  1.9453698709709161E-01 a        68     0     3     1    18
  6.3597581499951691E-02 a        69     0     3     1    19
  1.3370917592474224E-01 a        70     0     3     1    20
  3.0168942956044842E-01 a        71     0     3     1    21
  5.3108253911563062E-02 a        72     0     3     1    22
 -2.5143127177312363E-01 a        73     0     3     1    23
 -9.1309479644663502E-02 a        74     0     3     1    24
 -1.1862289423453570E-01 a        75     0     3     1    25
 -1.5144105631590082E-01 a        76     0     4     1     1
 -7.2676610840398365E-02 a        77     0     4     1     2
  6.5079009036126345E-01 a        78     0     4     1     3
 -5.3084352625593356E-01 a        79     0     4     1     4
  1.5726758660207596E-01 a        80     0     4     1     5
  1.1852502101755863E-01 a        81     0     4     1     6
  1.4071060037311736E-01 a        82     0     4     1     7
 -4.5144082178508328E-02 a        83     0     4     1     8
  2.3941998805761519E-01 a        84     0     4     1     9
 -3.0486924244217817E-01 a        85     0     4     1    10
 -3.6146239275363817E-01 a        86     0     4     1    11
  9.1489915976813815E-02 a        87     0     4     1    12
 -2.2044108692406642E-01 a        88     0     4     1    13
 -2.1140005910940501E-01 a        89     0     4     1    14
  2.0349073719060684E-01 a        90     0     4     1    15
 -2.4444874283207307E-01 a        91     0     4     1    16
 -3.3118394999241746E-01 a        92     0     4     1    17
 -4.2657552599892783E-02 a        93     0     4     1    18
 -1.8925344607904918E-01 a        94     0     4     1    19
 -3.6853009905917511E-01 a        95     0     4     1    20
  5.1452373590340428E-01 a        96     0     4     1    21
  1.2839760566431171E-01 a        97     0     4     1    22
  3.1510040034845432E-01 a        98     0     4     1    23
 -2.4576606190620026E-01 a        99     0     4     1    24
  2.1099266449642504E-01 a       100     0     4     1    25
  2.3299898278255754E-01 a       101     0     5     1     1
 -4.8823268719627402E-02 a       102     0     5     1     2
  6.0310025114625361E-02 a       103     0     5     1     3
 -2.0711412725988702E-02 a       104     0     5     1     4
  1.2116156503943909E-01 a       105     0     5     1     5
  6.9331878293970894E-01 a       106     0     5     1     6
 -2.2164755588450386E-01 a       107     0     5     1     7
 -2.7476256505411628E-01 a       108     0     5     1     8
  6.2621922904317853E-02 a       109     0     5     1     9
  1.9124221268009303E-01 a       110     0     5     1    10
  4.6967992950782889E-01 a       111     0     5     1    11
  2.2323278623544762E-01 a       112     0     5     1    12
 -2.8421422385899826E-03 a       113     0     5     1    13
 -6.3328561932245148E-02 a       114     0     5     1    14
  1.9172546462131351E-01 a       115     0     5     1    15
  2.2612369721111750E-01 a       116     0     5     1    16
  4.0102176454671312E-01 a       117     0     5     1    17
 -5.7664421488952754E-02 a       118     0     5     1    18
  1.2037037117072288E-01 a       119     0     5     1    19
 -3.2843772562686818E-01 a       120     0     5     1    20
 -2.4074802878270110E-01 a       121     0     5     1    21
  1.0357282974911536E-02 a       122     0     5     1    22
  2.8666217103631148E-01 a       123     0     5     1    23
  1.7573403537975948E-01 a       124     0     5     1    24
 -3.1382585575139882E-01 a       125     0     5     1    25
  2.4486888222123343E-01 a       126     0     6     1     1
  1.8926072062555419E-01 a       127     0     6     1     2
 -1.3193114666941927E-01 a       128     0     6     1     3
  1.0225134588377439E-01 a       129     0     6     1     4
 -2.1389700474663942E-01 a       130     0     6     1     5
 -2.6213570704821171E-01 a       131     0     6     1     6
  3.2642198005263040E-01 a       132     0     6     1     7
  2.2285279715438713E-01 a       133     0     6     1     8
 -3.3165158872307016E-01 a       134     0     6     1     9
 -1.6262152128355581E-01 a       135     0     6     1    10
 -1.3522053174300367E-02 a       136     0     6     1    11
 -1.5822199757627217E-01 a       137     0     6     1    12
 -3.2550487622240810E-02 a       138     0     6     1    13
  2.4566079678602357E-01 a       139     0     6     1    14
  2.6321823446881271E-01 a       140     0     6     1    15
  4.4074774290887270E-02 a       141     0     6     1    16
  7.6121210221102881E-02 a       142     0     6     1    17
  1.8766243775921559E-01 a       143     0     6     1    18
 -1.3312290373358410E-01 a       144     0     6     1    19
  2.5834229213898585E-01 a       145     0     6     1    20
 -2.9485607148057208E-01 a       146     0     6     1    21
  1.6645746235481304E-01 a       147     0     6     1    22
 -8.2193242848697778E-02 a       148     0     6     1    23
  2.1815964683976785E-02 a       149     0     6     1    24
  1.0632759605414945E-01 a       150     0     6     1    25
 -1.8131074277983400E-01 a       151     0     7     1     1
 -8.9490076089587742E-03 a       152     0     7     1     2
  1.3340503002357157E-01 a       153     0     7     1     3
 -8.8524451523130238E-03 a       154     0     7     1     4
 -1.9884786368756086E-01 a       155     0     7     1     5
 -2.9372388926653747E-01 a       156     0     7     1     6
  3.6282898932264335E-01 a       157     0     7     1     7
 -4.3506395955978250E-01 a       158     0     7     1     8
  4.1522198040217945E-01 a       159     0     7     1     9
 -1.2333704008390083E-01 a       160     0     7     1    10
